bairro;localizacao;preco;quartos;m2;corretora;data_anuncio;pm2
Asa Norte ;SQN 210 ;550000;2;55,72;5354;06/01/2014;9.871
Asa Norte ;SQN 415 ;550000;2;60;9915;02/01/2014;9.167
Asa Norte ;SQN 403 BLOCO G ;550000;3;78,75;7476;30/12/2013;6.984
Asa Sul ;SQS 414 BLOCO I ;550000;3;70;275;30/12/2013;7.857
Asa Norte ;SQN 412 REFORMADO, MUITO BOM!!;550000;2;70;18066;17/12/2013;7.857
Asa Sul ;SQS 404 BLOCO K 2? ANDAR REFORMADO;550000;3;78;20103;17/12/2013;7.051
Asa Sul ;SQS 414 BLOCO I 3 ANDAR;550000;3;70;10232;17/12/2013;7.857
Asa Norte ;SQN 312 ;550000;2;60;7315;09/12/2013;9.167
Sudoeste ;CLSW 300A IMPERD?VEL LINDO LOFT COM ARM?RIOS EXCTE PRE?O R$$$;550000;1;60;7037;06/12/2013;9.167
Asa Norte ;SQN 416 ;550000;2;68;8286;04/12/2013;8.088
Asa Norte ;SQN 215 >> 1 VAGA, 3? ANDAR;550000;2;60;18222;02/12/2013;9.167
Noroeste ;CLNW 10/11 LOTE B STYLO HOUSING & SHOP;553000;2;47,17;19176;22/01/2014;11.724
Noroeste ;CLNW 10/11 APT 01 E 02 QUARTOS  PRONTO PARA MORAR!!!9267-8299;553200;2;47,17;14774;23/01/2014;11.728
Asa Norte ;SQN 404 SQN 404 - 3 QTS- 76,78M?  - SUITE - 1? ANDAR;555000;3;78;12123;20/01/2014;7.115
Asa Sul ;SQS 407 APTO AMPLO E DECORADO C DCE;555000;2;73;16953;10/01/2014;7.603
Asa Norte ;SQN 415 BLOCO L ;557000;2;60;13247;09/12/2013;9.283
Asa Norte ;SQN 116 BLOCO H 02 QTS REFORMADO C/ ARM?RIOS - AC. TROCA KIT;559000;2;65;14493;29/01/2014;8.600
Asa Norte ;SQN 409 BLOCO L ;559000;3;95;11145;10/01/2014;5.884
Sudoeste ;EQRSW 7/8 MONUMENTAL SUDOESTE-PRONTO;559761;1;51,55;14522;29/01/2014;10.859
Asa Norte ;SQN 415 - REFORMADO - COM ARM?RIOS - VAZADO;560000;2;60;13933;29/01/2014;9.333
Asa Sul ;SQS 404 BLOCO Q ;560000;3;79;17609;28/01/2014;7.089
Asa Norte ;SQN 411 ATEN??O CORRETORES(AS)!!COMISS?O MEIO A MEIO;560000;3;95;7643;27/01/2014;5.895
Asa Sul ;TRECHO SCES TRECHO 04 EXCELENTE APTO 01 QUARTO, MOBILIADO LAK;560000;1;42;5201;24/01/2014;13.333
Asa Norte ;SQN 402 ;560000;2;70;7925;20/01/2014;8.000
Asa Norte ;SQN 412 BLOCO M ;560000;3;75;20331;18/01/2014;7.467
Asa Sul ;SQS 407 OPORTUNIDADE! BLOCO COM ELEVADOR, DESOCUPADO.;560000;2;79;8247;16/01/2014;7.089
Asa Norte ;SQN 412 VAZADO - REFORMADO;560000;3;78;4371;15/01/2014;7.179
Asa Norte ;SQN 216 PR?XIMO AO PARQUE - ANDAR ALTO - NASCENTE;560000;2;65;4371;15/01/2014;8.615
Asa Norte ;SQN 411 NASCENTE/ VISTA LIVRE/ 1? ANDAR!!!;560000;3;80;11019;09/01/2014;7.000
Asa Norte ;SQN 412 ;560000;2;70;12268;02/01/2014;8.000
Asa Sul ;SQS 410 - REFORMADO - RICO EM ARM?RIOS;560000;3;82;13933;30/12/2013;6.829
Asa Sul ;SQS 410 ;560000;3;83;9706;20/12/2013;6.747
Asa Norte ;SQN 216 BLOCO C DESOCUPADO, ARMS, REFORMADO NO 4? ANDAR, 2WC;560000;2;62;11753;18/12/2013;9.032
Asa Norte ;SQN 416 VISTA LIVRE, NASCENTE, SUITE!!;560000;3;80;18066;17/12/2013;7.000
Asa Sul ;SQS 310 BLOCO G ;560000;2;53;2277;07/12/2013;10.566
Asa Sul ;SQS 404 IMPERD?VEL ! AMPLO APTO 03 QTOS ? SERVI?O EXCTE PRE?O;560000;3;80;7037;06/12/2013;7.000
Asa Norte ;SQN 403 EXCELENTE LOCALIZA??O...;565000;3;78;7107;29/01/2014;7.244
Asa Norte ;SQN 404 - REFORMAD?SSIMO - NASCENTE;565000;3;80;13933;28/01/2014;7.063
Asa Norte ;SQN 216 PR?DIO REFORMADO;565000;2;65;16711;27/01/2014;8.692
Sudoeste ;CCSW 03 ED. PORTO FELIZ! BEL?SSIMO APARTAMENTO!;565000;2;55,44;18220;24/01/2014;10.191
Asa Norte ;SQN 404 NASCENTE - VISTA LIVRE;565000;3;79;8791;21/01/2014;7.152
Asa Norte ;SQN 411 NASCENTE, VAZADO 1? ANDAR NICE 8493-1601;565000;3;95;11018;20/01/2014;5.947
Asa Norte ;SHCGN 704 BLOCO COM COBERTURA COLETIVA, LINDA VISTA!;565000;2;54;8247;16/01/2014;10.463
Asa Sul ;SQS 404 BLOCO I APARTAMENTO DE CANTO, VAZADO E VISTA LIVRE!!!;565000;3;77,64;12027;05/01/2014;7.277
Asa Norte ;SQN 216 - NASCENTE - 02 QUARTOS;565000;2;65;13933;01/01/2014;8.692
Asa Sul ;TRECHO SCES TRECHO 04 BRISAS DO LAGO;565000;1;48,43;19176;28/12/2013;11.666
Asa Sul ;TRECHO SCES TRECHO 04 (02)BRISAS DO LAGO!;567607,42;1;40,46;16711;27/01/2014;14.029
Asa Sul ;SQS 405 APTO 2? ANDAR;568010;3;85;11839;29/01/2014;6.682
Noroeste ;CLNW 10/11 LOTE E 2 QUARTOS NOROESTE NEO;568656,35;2;67,58;12573;17/12/2013;8.415
Asa Norte ;SQN 405 ;569999;3;88;5377;27/01/2014;6.477
Sudoeste ;CCSW 03 ;570000;2;56;8080;29/01/2014;10.179
Asa Sul ;SQS 407 - APARTAMENTO 3 QUARTOS- VISTA LIVRE;570000;2;73;13933;29/01/2014;7.808
Asa Norte ;SQN 411 EXCELENTE E BEM AMPLO...;570000;3;96;7107;29/01/2014;5.938
Noroeste ;SQNW 310 BLOCO C VIA SOHOO 5? ANDAR NASCENTE CANTO;570000;1;44;18208;28/01/2014;12.955
Sudoeste ;CCSW 02 LINDO REFORMADO E VAZADO;570000;2;63;11397;28/01/2014;9.048
Asa Norte ;SQN 314 ;570000;2;60;925;27/01/2014;9.500
Sudoeste ;CLSW 300A VIA PLACE - REFORMADISSIMO;570000;1;75;18220;25/01/2014;7.600
Asa Norte ;SQN 310 BLOCO A DESOCUPADO FRENTE LIVRE;570000;2;63,2;19422;24/01/2014;9.019
Asa Norte ;CLN 405 BLOCO E ;570000;3;80;19580;23/01/2014;7.125
Asa Norte ;SQN 403 BLOCO Q LINDO! REFORMADO NASCENTE;570000;3;78;6613;20/01/2014;7.308
Asa Sul ;SQS 312 BLOCO H ;570000;2;78;12220;20/01/2014;7.308
Sudoeste ;CCSW 03 APARTAMENTO 02 QTS SUDOESTE ECON?MICO;570000;2;55,44;13247;16/01/2014;10.281
Asa Norte ;SQN 411 PRIMEIRO ANDAR, ?TIMO 03 QUARTOS + DCE, AC. FINANCIAM;570000;3;96;8247;16/01/2014;5.938
Asa Norte ;SQN 405 BLOCO G ;570000;3;78;13372;09/01/2014;7.308
Asa Sul ;SQS 415 ;570000;3;90;12268;09/01/2014;6.333
Asa Norte ;SQN 411 ;570000;3;90;3889;07/01/2014;6.333
Asa Norte ;SHCGN 704 ;570000;2;55;5179;06/01/2014;10.364
Asa Norte ;SQN 405 AMPLO, VAZADO, NASCENTE E MEIO DE QUADRA;570000;3;90;3832;02/01/2014;6.333
Asa Sul ;SQS 404 ;570000;3;88;5210;30/12/2013;6.477
Asa Norte ;SQN 416 - NASCENTE - DESOCUPADO - VAZADO;570000;3;80;13933;23/12/2013;7.125
Asa Norte ;SQN 405 DESOCUPAD,  1? ANDAR, VAZADO NICE 8493-1601;570000;3;78;11018;13/12/2013;7.308
Asa Sul ;TRECHO SCES TRECHO 04 ;570000;1;48,44;14635;30/01/2014;11.767
Asa Norte ;SQN 412 IMPERD?VEL! 02 QTOS(STE) NASCENTE EXCTE PRE?O R$$;573000;2;83;7037;12/01/2014;6.904
Asa Norte ;SQN 415 BLOCO L APARTAMENTO 2 QUARTOS;574000;2;60;17606;27/01/2014;9.567
Asa Norte ;SQN 116 ANDAR ALTO, NASCENTE, BLOCO REFORMADO.;575000;2;59;8247;29/01/2014;9.746
Asa Norte ;SQN 412 ;575000;3;75;11523;28/01/2014;7.667
Asa Norte ;SQN 216 ANDAR ALTO, VISTA LIVRE, REFORMADO.;575000;2;65;8247;16/01/2014;8.846
Asa Sul ;SQS 412 LINDA REFORMA! 03 QTOS DCE ARMS EXCTE PRE?O R$$;575000;3;96;7037;09/12/2013;5.990
Asa Norte ;SQN 309 BLOCO B ;578000;2;68;1871;27/01/2014;8.500
Asa Norte ;SQN 216 NASCENTE ! REFORMADO ! MUDE J? !! EXCTE PRE?O R$$;579000;2;70;7037;12/01/2014;8.271
Asa Sul ;SQS 415 1? ANDAR DE CANTO / 8301-7361;580000;3;90;12180;29/01/2014;6.444
Asa Sul ;SQS 416 REFORMADO, NASCENTE, VAZADO;580000;3;80;11983;28/01/2014;7.250
Asa Sul ;SQS 415 TODO ORIGINAL!!!!!!!!!!;580000;3;80;11983;28/01/2014;7.250
Asa Norte ;SQN 409 BLOCO L ;580000;3;96;5525;26/01/2014;6.042
Noroeste ;CLNW 10/11 MELHOR 2 QTS / MELHOR CUSTO X BENEFICIO;580000;2;67;7353;21/01/2014;8.657
Sudoeste ;CCSW 02 O MELHOR APTO 01 QUARTO LAZER COMPLETO 95595421;580000;1;58;10763;20/01/2014;10.000
Asa Sul ;SQS 407 ;580000;3;83;7925;20/01/2014;6.988
Asa Sul ;SQS 405 BLOCO L ;580000;3;78;14890;20/01/2014;7.436
Asa Norte ;SQN 411 VAZADO, NASCENTE, VISTA LIVRE;580000;3;96;18066;20/01/2014;6.042
Asa Norte ;SQN 116 ;580000;2;69;946;20/01/2014;8.406
Asa Sul ;SQS 415 NASCENTE, VISTA LIVRE, ACEITA PROPOSTA.;580000;3;100;8247;16/01/2014;5.800
Sudoeste ;CLSW 300A VIA PLACE - 97 M2 - ESPECIAL!!!;580000;1;97;12135;15/01/2014;5.979
Asa Norte ;SQN 411 ;580000;3;96;12268;13/01/2014;6.042
Asa Sul ;SQS 404 ;580000;3;90;3889;13/01/2014;6.444
Asa Sul ;SQS 415 DESOCUPADO;580000;3;82,5;358;13/01/2014;7.030
Asa Norte ;SQN 403 ;580000;3;80;6056;13/01/2014;7.250
Asa Sul ;SQS 416 APT 3 QTS - 80M? - REFORMADO;580000;3;78;12123;09/01/2014;7.436
Sudoeste ;QRSW 01 - REFORMADO - NASCENTE - 2? ANDAR;580000;3;80;13933;08/01/2014;7.250
Asa Sul ;SQS 410 AC. APTO 03 QTOS C/ DCE EM ?/CLARAS OU CASA EM ARNIQU;580000;3;83;11018;30/12/2013;6.988
Asa Sul ;SQS 410 BLOCO E ;580000;3;82;9915;26/12/2013;7.073
Asa Sul ;SQS 404 ;580000;3;86;20339;15/12/2013;6.744
Asa Norte ;SQN 210 BLOCO F ;580000;2;64;1980;12/12/2013;9.063
Asa Norte ;SQN 116 ?TIMO APARTAMENTO;580000;2;56;7121;12/12/2013;10.357
Asa Sul ;SQS 404 ;580000;3;86;8714;09/12/2013;6.744
Asa Norte ;SCRN 702/703 - ?TIMA LOCALIZA??O;580000;3;86;13933;09/12/2013;6.744
Asa Sul ;SQS 416 BLOCO G VAZADO, NASCENTE!;580000;3;78;5102;04/12/2013;7.436
Asa Norte ;SQN 415 02 QTOS LINDO EDIF?CIO EXCTE LOCALIZA??O !!;584000;2;66;7037;16/12/2013;8.848
Asa Sul ;SQS 405 ;585000;3;78;19420;29/01/2014;7.500
Asa Norte ;SQN 216 LINDO APARTAMENTO!;585000;2;68;18220;24/01/2014;8.603
Sudoeste ;QRSW 06 IMPERD?VEL! 03QTOS(STE) REFORMADO ARMS EXCTE PRE?O R$;585000;3;76;7037;12/01/2014;7.697
Asa Norte ;SQN 403 1?ANDAR, NASCENTE,DESOCUPADO,VISTA LIVRE - RWF;589000;3;78;8066;21/01/2014;7.551
Asa Norte ;SQN 216 APTO DE 02 QUARTOS RWF;589000;2;63;8066;07/01/2014;9.349
Asa Sul ;SQS 403 A/C FGTS/ FINANCIAMENTO!!;589999;3;90;5377;27/01/2014;6.556
Asa Sul ;SQS 409 ;590000;3;86,3;3545;29/01/2014;6.837
Asa Sul ;SQS 403 EXCELENTE IM?VEL!;590000;3;81;19420;29/01/2014;7.284
Asa Norte ;SQN 416 BLOCO C ;590000;2;90;16541;29/01/2014;6.556
Sudoeste ;QRSW 01 VISTA LIVRE  ARM?RIOS;590000;3;89,56;19978;29/01/2014;6.588
Asa Norte ;SQN 409 DESOCUPADO, VAZADO, NASCENTE - RWF;590000;3;90;8066;28/01/2014;6.556
Asa Norte ;SQN 116 NASCENTE, REFORMADO. RWF;590000;2;58;8066;28/01/2014;10.172
Asa Norte ;SETOR SHTN ***CONDOM?NIO PREMIER***;590000;1;62;8898;28/01/2014;9.516
Asa Norte ;SQN 403 NASCENTE, REFORMADO, VAZADO, V. LIVRE, MEIO DE QUADRA;590000;3;90;11983;28/01/2014;6.556
Asa Norte ;SQN 409 IMPERD?VEL ! 03 QTOS STE EXCTE PRE?O R$$;590000;3;96;7037;27/01/2014;6.146
Asa Norte ;SETOR SHLN ;590000;1;72;21435;24/01/2014;8.194
Asa Norte ;SQN 410 OPORTUNIDADE!  CUSTO X BENEFICIO;590000;3;78;9040;24/01/2014;7.564
Sudoeste ;CCSW 04 - VARANDA,AC.FGTS!!!;590000;2;58;7421;24/01/2014;10.172
Asa Sul ;SQS 404 BLOCO J ;590000;3;85;14890;20/01/2014;6.941
Asa Norte ;SQN 209 ;590000;2;60;20101;19/01/2014;9.833
Asa Norte ;SQN 411 VAZADO, 03 QUARTOS (1 SU?TE)+DCE.;590000;3;95;8247;16/01/2014;6.211
Asa Norte ;SQN 404 03 QTOS NA ASA NORTE COM SUITE RWF;590000;3;79;8066;15/01/2014;7.468
Asa Norte ;SQN 411 BLOCO O VAZADO COM SUITE;590000;3;95;11468;14/01/2014;6.211
Asa Sul ;SQS 415 BLOCO S ;590000;3;90;1704;10/01/2014;6.556
Asa Sul ;SQS 410 AMPLO JK 3 QUARTOS REFORMADO - LIGUE 8181-4414;590000;3;95;12027;05/01/2014;6.211
Asa Norte ;SQN 312 ;590000;3;92;3209;04/01/2014;6.413
Asa Norte ;SQN 405 VAZADO, REFORMADO, CONSULTORIA COMPLETA!!!;590000;3;90;9025;02/01/2014;6.556
Asa Norte ;SQN 116 ;590000;2;58;18066;26/12/2013;10.172
Asa Norte ;SQN 404 ;590000;3;79;9706;20/12/2013;7.468
Asa Norte ;SQN 312 - 3QTS - ARM?RIOS - LAZER;590000;3;97;13933;19/12/2013;6.082
Sudoeste ;QRSW 01 ;590000;3;83;5391;03/12/2013;7.108
Noroeste ;CLNW 10/11 ;590000;2;73;20989;24/01/2014;8.082
Asa Sul ;TRECHO SCES TRECHO 04 FLAT - FRENTE PARA O LAGO - USE FGTS;590000;1;48,43;13406;28/01/2014;12.183
Noroeste ;CLNW 10/11 APTO 47,17M?  2 QTOS 2 VAGAS;592000;2;47,15;3164;27/01/2014;12.556
Asa Norte ;SHCGN 715 ;595000;3;75;3545;29/01/2014;7.933
Asa Sul ;SQS 411 ;595000;3;71,21;10910;29/01/2014;8.356
Sudoeste ;SQSW 504 BLOCO F INVESTIR OU MORAR, VISTA LIVRE, DESOCUPADO!!;595000;2;64,69;6650;26/01/2014;9.198
Asa Sul ;SQS 414 BLOCO G APT? 203;595000;2;103;7476;24/01/2014;5.777
Asa Norte ;SQN 411 BLOCO L REFORMADISSIMO;595000;3;96;20339;22/01/2014;6.198
Asa Norte ;SQN 412 ;595000;3;75,12;20331;07/01/2014;7.921
Asa Sul ;SQS 403 BLOCO L ;595000;3;82;12220;07/01/2014;7.256
Asa Sul ;SQS 406 BLOCO U 1? ANDAR;595000;3;81;4698;27/12/2013;7.346
Asa Norte ;SQN 411 IMPERD?VEL! EXCTE APTO 03 QTOS(STE) ?TIMA LOCALIZA??O;597000;3;80;7037;06/12/2013;7.463
Asa Norte ;SQN 409 LINDA REFORMA! PORCELANATO 03 QTOS DCE EXCTE PRE?O R$;597000;3;95;7037;06/12/2013;6.284
Asa Sul ;SQS 409 ;598000;3;100;9996;27/01/2014;5.980
Asa Sul ;SQS 415 BLOCO H ?TIMO APARTAMENTO !!!;598000;3;115,6;13753;20/01/2014;5.173
Asa Sul ;SQS 409 BLOCO R ;598000;3;100;10891;19/01/2014;5.980
Asa Sul ;SQS 415 VISTA LIVRE GRAND?O 115 M?  3328-0470;598000;3;115;12180;23/12/2013;5.200
Asa Sul ;SQS 415 VISTA LIVRE GRAND?O 115 M?  3328-0470;598000;4;115;12180;16/12/2013;5.200
Asa Norte ;SQN 312 OPORTUNIDADE - ANDAR ALTO, DESOCUPADO!!!;599000;3;95,5;19422;24/01/2014;6.272
Asa Sul ;SQS 405 CANTO, NASCENTE, VISTA LIVRE;599000;3;77,64;14999;24/01/2014;7.715
Asa Norte ;SQN 310 BLOCO A EXCELENTE OPORTUNIDADE PARA INVESTIR OU MORAR;599000;2;62,5;3384;23/01/2014;9.584
Asa Sul ;SQS 405 EXCEL LOCALIZ/TRC AP BELO HORIZONTE;599015;3;77,64;11839;29/01/2014;7.715
Asa Sul ;SQS 415 BLOCO R ;599900;3;92;3312;22/01/2014;6.521
Asa Norte ;SQN 216 ;599999;2;63;5377;27/01/2014;9.524
Asa Norte ;SQN 411 OPORTUNIDADE NASCENTE!!!!;600000;3;95;20472;30/01/2014;6.316
Asa Sul ;SQS 415 ;600000;3;115;17001;29/01/2014;5.217
Asa Norte ;SQN 411 A MELHOR OP??O! SU?TE  9146-0843;600000;3;95;11476;29/01/2014;6.316
Asa Norte ;SQN 216 ?TIMO PARA INVESTIDOR!!!!!!!;600000;2;70;11983;28/01/2014;8.571
Asa Norte ;SQN 411 1? ANDAR, NASCENTE, VAZADO, V. LIVRE, MEIO DE QUADRA;600000;3;96;11983;28/01/2014;6.250
Asa Sul ;SQS 406 OPORTUNIDADE!!DESOCUPDO REFORMADO E VAZADO;600000;3;98;10483;27/01/2014;6.122
Asa Norte ;SQN 412 BLOCO D VAZADO;600000;4;108;6906;27/01/2014;5.556
Asa Sul ;SQS 410 - OPORTUNIDADE, FA?A SUA PROPOSTA;600000;3;87;11107;26/01/2014;6.897
Asa Sul ;SQS 407 BLOCO F ;600000;3;72;13141;26/01/2014;8.333
Asa Sul ;SQS 312 BLOCO A APENAS R$ 600.000,00!ELEV.2QTS+DCE!QUITADO/E;600000;2;64;5201;24/01/2014;9.375
Asa Norte ;SQN 403 NASCENTE, 1O. ANDAR, CONSULTORIA COMPLETA!!!;600000;3;85;9025;22/01/2014;7.059
Sudoeste ;CLSW 300A * REFORMADO * GARAGEM * AC FINAN/FGTS *;600000;2;65,6;5915;15/01/2014;9.146
Asa Norte ;SQN 405 APTO DESOCUPADO_2? ANDAR;600000;3;78;16953;10/01/2014;7.692
Asa Norte ;SQN 215 ;600000;2;70;3889;07/01/2014;8.571
Asa Norte ;SQN 314 NASCENTE, DE CANTO, COM GARGEM...;600000;2;64;3889;07/01/2014;9.375
Asa Norte ;SQN 405 BLOCO G ;600000;3;98;10484;07/01/2014;6.122
Asa Sul ;SQS 409 BLOCO H ;600000;3;80;5238;03/01/2014;7.500
Asa Norte ;SQN 406 VAZADO, NASCENTE, CONSULTORIA COMPLETA!!!;600000;3;85;9025;30/12/2013;7.059
Asa Norte ;SQN 406 VAZADO, NASCENTE,REFORMADO!!!;600000;3;90;9025;30/12/2013;6.667
Asa Norte ;SQN 404 BLOCO J;600000;3;80;218047;30/12/2013;7.500
Asa Norte ;SQN 405 ;600000;3;80;5424;20/12/2013;7.500
Asa Norte ;SQN 404 1? ANDAR, REFORMADO, SUITE!!;600000;3;79;18066;17/12/2013;7.595
Asa Sul ;SQS 415 REFORMADO;600000;3;83;3277;13/12/2013;7.229
Asa Norte ;SQN 116 ;600000;2;65;12268;12/12/2013;9.231
Asa Norte ;SQN 411 >> SU?TE, MEIO DE QUADRA;600000;3;95;18222;09/12/2013;6.316
Asa Norte ;SQN 312 BLOCO B RILDO F:8481-9419/9983-6296;600000;3;95,5;6370;08/12/2013;6.283
Asa Norte ;SQN 402 >> ELEVADOR, 2? ANDAR;600000;2;65;18222;02/12/2013;9.231
Asa Norte ;SQN 411 ESPERO SUA PROPOSTA! PLANT?O 8155-6004;600000;3;95;11331;29/01/2014;6.316
Noroeste ;CLNW 10/11 STYLO HOUSING & SHOP - APTOS DE 1 E 2 QUARTOS;603000;2;47,17;303164;23/12/2013;12.784
Asa Norte ;SQN 310 COM REFORMA- 6?ANDAR-VISTA LIVRE- 1 VG;605000;2;65;14367;13/01/2014;9.308
Asa Norte ;SHCGN 705 BLOCO P TROCA APTO MENOR VALOR, 2 QTS NAS 400 E 700;605000;2;62;20081;13/01/2014;9.758
Asa Sul ;SQS 416 ESPETACULAR !!! PRIME VENDE;610000;3;82;19420;29/01/2014;7.439
Asa Sul ;SQS 416 ESPETACULAR!!!  8408-4788;610000;2;82;19420;29/01/2014;7.439
Asa Norte ;SQN 209 CANTO - NASCENTE;610000;2;61;4789;29/01/2014;10.000
Asa Norte ;SQN 116 02 QTOS REFORMADO, MOBILIADO!;610000;2;65;7137;28/01/2014;9.385
Asa Norte ;SQN 411 IMPERD?VEL 3 QTS EXCTE PRE?O!!;610000;3;96;7037;27/01/2014;6.354
Asa Norte ;SQN 405 ;610000;3;88;16711;27/01/2014;6.932
Asa Sul ;SQS 416 BLOCO O LINDO!!! VISTA LIVRE REFORMAD?SSIMO 8192-7160;610000;2;82;14810;27/01/2014;7.439
Asa Norte ;SQN 405 VAZADO;610000;3;78;8666;24/01/2014;7.821
Asa Norte ;SQN 411 VAZADO,REFORMADO, NASCENTE!!!;610000;3;95,3;9025;22/01/2014;6.401
Asa Norte ;SQN 405 BLOCO REFORMADO!!!;610000;3;78;18066;18/01/2014;7.821
Asa Norte ;SQN 405 ;610000;3;78;8247;16/01/2014;7.821
Asa Sul ;SQS 410 BLOCO U ;610000;3;90;12220;16/01/2014;6.778
Asa Norte ;SQN 116 ;610000;2;65;12268;15/01/2014;9.385
Asa Sul ;SQS 403 ;610000;3;80;2146;13/01/2014;7.625
Asa Norte ;SQN 405 - 03 QUARTOS - REFORMADO;610000;3;78;13933;13/01/2014;7.821
Asa Norte ;SQN 405 ATEN??O!VAMOS V? E LAN?AR SUA PROPOSTA?;610000;3;80;11019;11/01/2014;7.625
Asa Norte ;SQN 403 DE CANTO, DESOCUPADO  RWF;610000;3;79;8066;09/01/2014;7.722
Asa Norte ;SQN 411 03 QTOS, DESOCUPADO - RWF;610000;3;94;8066;08/01/2014;6.489
Asa Norte ;SQN 406 1 ANDAR-LIGUE 9133-6434;610000;3;90;7148;07/01/2014;6.778
Asa Norte ;SQN 405 2 ANDAR - LIGUE-9133-6434;610000;3;78;7148;07/01/2014;7.821
Asa Norte ;SQN 405 - RICO EM ARM?RIOS - BLOCO REFORMADO;610000;3;80;13933;06/01/2014;7.625
Asa Norte ;SQN 116 ;610000;2;69,8;2146;05/01/2014;8.739
Asa Norte ;SQN 405 ;610000;3;80;12268;03/01/2014;7.625
Asa Norte ;SQN 409 VAZADO;610000;4;100;4522;20/12/2013;6.100
Asa Norte ;SQN 405 ;610000;3;79;9706;19/12/2013;7.722
Sudoeste ;QRSW 01 NASCENTE VAZADO / 8301-7361;610000;3;74;12180;16/12/2013;8.243
Asa Sul ;SQS 408 REFORMADO / 8156-8764;610000;3;76;12180;16/12/2013;8.026
Sudoeste ;QRSW 01 - NASCENTE - DESOCUPADO - 2? ANDAR;610000;3;75;13933;16/12/2013;8.133
Asa Norte ;SQN 405 DESOCUPADO, NASCENTE, 2? ANDAR NICE 8493-1601;610000;3;78;11018;13/12/2013;7.821
Asa Norte ;SQN 406 >> REFORMADO - SU?TE;610000;3;80;18222;02/12/2013;7.625
Asa Norte ;SQN 312 EXCELENTE! 9529-4141;615000;3;91;11476;29/01/2014;6.758
Asa Norte ;SQN 215 REFORMADO, V. LIVRE, GARAGEM, AO LADO DO PARQUE;615000;2;74;11983;28/01/2014;8.311
Asa Sul ;TRECHO SCES TRECHO 04 BRISAS DO LAGO - NASCENTE - 9184 7787;615000;1;40,45;14601;25/12/2013;15.204
Asa Norte ;SQN 411 IMPERD?VEL ! ?TIMA OPORTUNIDADE EXCTE PRE?O R$$;615000;3;96;7037;13/12/2013;6.406
Asa Norte ;SQN 411 - NASCENTE - PR?DIO REFORMADO;615000;3;95;13933;09/12/2013;6.474
Asa Norte ;SQN 406 ;617000;3;78;12268;15/01/2014;7.910
Asa Sul ;TRECHO SCES TRECHO 04 PRONTO PARA MORAR;618000;1;48;17001;29/01/2014;12.875
Asa Sul ;TRECHO SCES TRECHO 04 PRONTO PARA MORAR;618000;1;48;17001;28/01/2014;12.875
Asa Norte ;SQN 310 N?O PERCA!! 6? ANDAR, VISTA LIVRE, GARAGEM;618000;2;65;11983;22/01/2014;9.508
Asa Sul ;SQS 410 ;619000;3;90;11476;26/12/2013;6.878
Asa Norte ;SQN 411 IMPERD?VEL!VAZADO 03 QTOS DCE EXCTE PRE?O R$$;619000;3;96;7037;13/12/2013;6.448
Asa Sul ;SQS 405 OTIMA QUADRA - PLANTAO 8110-4776;620000;3;81;11476;29/01/2014;7.654
Asa Norte ;SQN 215 BLOCO G ** EXCELENTE **;620000;2;68;7107;29/01/2014;9.118
Asa Norte ;SQN 215 BLOCO G SQN 215 - PREDIO E APTO  REFORMADOS -;620000;2;69;11536;29/01/2014;8.986
Asa Norte ;SQN 409 OPORTUNIDADE;620000;4;100;4522;27/01/2014;6.200
Asa Norte ;SQN 409 ;620000;3;95;10589;25/01/2014;6.526
Asa Sul ;SQS 116 ;620000;2;65,77;3545;23/01/2014;9.427
Asa Sul ;SQS 116 BLOCO J ;620000;2;65,77;20331;22/01/2014;9.427
Asa Norte ;SQN 312 GARAGEM,SUITE , OPORTUNIDADE!!;620000;3;96;18066;22/01/2014;6.458
Asa Sul ;SQS 405 - ?TIMA LOCALIZA??O - VISTA LIVRE -;620000;3;81;13933;22/01/2014;7.654
Sudoeste ;SQSW 101 BLOCO H ;620000;2;57;18887;20/01/2014;10.877
Asa Norte ;SQN 404 NASCENTE,  SUITE,ACEITA FINANCIAMENTO;620000;3;79;18066;20/01/2014;7.848
Asa Norte ;SQN 314 ANDAR ALTO, NASCENTE, CANTO.;620000;2;64;8247;16/01/2014;9.688
Asa Norte ;SQN 407 TROCO POR 03 QTS  NA 100/200/300 OU 700 NORTE;620000;3;78;16005;13/01/2014;7.949
Asa Norte ;SQN 312 BLOCO B ;620000;3;87;9422;13/01/2014;7.126
Asa Norte ;SQN 409 ;620000;4;100;12268;09/01/2014;6.200
Asa Norte ;SQN 312 NASCENTE,COM GARAGEM;620000;3;96;11019;08/01/2014;6.458
Asa Norte ;SQN 215 - GARAGEM - ELEVADOR;620000;2;74;20339;06/01/2014;8.378
Asa Norte ;SQN 405 ;620000;3;95;5295;05/01/2014;6.526
Asa Norte ;SQN 416 BLOCO I ;620000;2;70;198;02/01/2014;8.857
Asa Norte ;SQN 312 BLOCO J ***ACEITA PROPOSTA***;620000;3;96;1691;02/01/2014;6.458
Asa Norte ;SQN 210 BLOCO F ;620000;2;88;1043;23/12/2013;7.045
Asa Norte ;SQN 409 BLOCO L ;620000;3;95;1703;23/12/2013;6.526
Asa Sul ;SQS 416 REFORMADO VISTA LIVRE / 8301-7361;620000;3;78;12180;16/12/2013;7.949
Asa Sul ;SQS 403 REFORMADO NASCENTE 81258765;620000;3;78;12180;16/12/2013;7.949
